# LST, Quality Flags, Datetime
# 2009
-9999,-9999,200906082230
-9999,-9999,200906082245
-9999,-9999,200906082300
-9999,-9999,200906082315
-9999,-9999,200906082330
-9999,-9999,200906082345
-9999,-9999,200906090000
-9999,-9999,200906090015
-9999,-9999,200906090030
-9999,-9999,200906090045
-9999,-9999,200906090100
-9999,-9999,200906090115
-9999,-9999,200906090130
-9999,-9999,200906090145
-9999,-9999,200906090200
-9999,-9999,200906090215
-9999,-9999,200906090230
-9999,-9999,200906090245
-9999,-9999,200906090300
-9999,-9999,200906090315
-9999,-9999,200906090330
-9999,-9999,200906090345
-9999,-9999,200906090400
-9999,-9999,200906090415
-9999,-9999,200906090430
-9999,-9999,200906090445
-9999,-9999,200906090500
-9999,-9999,200906090515
-9999,-9999,200906090530
-9999,-9999,200906090545
-9999,-9999,200906090600
-9999,-9999,200906090615
-9999,-9999,200906090630
-9999,-9999,200906090645
-9999,-9999,200906090700
-9999,-9999,200906090715
-9999,-9999,200906090730
-9999,-9999,200906090745
-9999,-9999,200906090800
-9999,-9999,200906090815
-9999,-9999,200906090830
-9999,-9999,200906090845
3587,10014,200906090900
3737,10014,200906090915
-8000,44,200906090930
-8000,44,200906090945
-8000,44,200906091000
3736,10014,200906091015
3383,10014,200906091030
-8000,44,200906091045
-8000,60,200906091100
-8000,44,200906091115
4127,10014,200906091130
4047,10014,200906091145
3787,10014,200906091200
3839,10014,200906091215
-8000,44,200906091230
3727,10014,200906091245
3802,10014,200906091300
3796,10014,200906091315
3747,10014,200906091330
-8000,44,200906091345
-8000,44,200906091400
-8000,44,200906091415
-8000,44,200906091430
-8000,44,200906091445
-8000,44,200906091500
-8000,44,200906091515
3122,10014,200906091530
3033,10014,200906091545
3000,10014,200906091600
2786,10014,200906091615
2550,10014,200906091630
2494,10014,200906091645
2411,10014,200906091700
2261,10014,200906091715
2280,10014,200906091730
-8000,44,200906091745
-8000,44,200906091800
-8000,60,200906091815
1493,10014,200906091830
-8000,60,200906091845
1804,10014,200906091900
1782,10014,200906091915
-8000,60,200906091930
-8000,44,200906091945
1849,10014,200906092000
1800,10014,200906092015
1750,10014,200906092030
1656,10014,200906092045
-8000,44,200906092100
-8000,44,200906092115
-8000,44,200906092130
-8000,44,200906092145
-8000,44,200906092200
-8000,44,200906092215
-8000,44,200906092230
-8000,60,200906092245
-8000,60,200906092300
-8000,60,200906092315
1809,10014,200906092330
-8000,44,200906092345
-8000,44,200906100000
-8000,44,200906100015
-8000,44,200906100030
-8000,44,200906100045
-8000,60,200906100100
-8000,44,200906100115
-8000,44,200906100130
1149,10014,200906100145
-8000,44,200906100200
-8000,44,200906100215
1584,10014,200906100230
1661,10014,200906100245
1661,10014,200906100300
1676,10014,200906100315
1625,10014,200906100330
-8000,60,200906100345
1555,10014,200906100400
-8000,44,200906100415
-8000,44,200906100430
-8000,44,200906100445
1788,10014,200906100500
2090,10014,200906100515
-8000,44,200906100530
-8000,44,200906100545
-8000,44,200906100600
-8000,44,200906100615
2536,10014,200906100630
2686,10014,200906100645
-8000,44,200906100700
2847,10014,200906100715
-8000,44,200906100730
3082,10014,200906100745
-8000,44,200906100800
-8000,44,200906100815
-8000,44,200906100830
-8000,44,200906100845
3424,10014,200906100900
3279,10014,200906100915
3601,10014,200906100930
-8000,44,200906100945
3381,10014,200906101000
3728,10014,200906101015
3867,10014,200906101030
3915,10014,200906101045
3977,10014,200906101100
3813,10014,200906101115
-8000,44,200906101130
-8000,44,200906101145
-8000,60,200906101200
-8000,44,200906101215
-8000,44,200906101230
-8000,44,200906101245
-8000,44,200906101300
3273,10014,200906101315
-8000,12,200906101330
-8000,44,200906101345
-8000,44,200906101400
-8000,44,200906101415
3268,10014,200906101430
3266,10014,200906101445
2886,10014,200906101500
-8000,44,200906101515
-8000,44,200906101530
2885,10014,200906101545
2956,10014,200906101600
-8000,44,200906101615
2661,10014,200906101630
-8000,44,200906101645
2317,10014,200906101700
2436,10014,200906101715
2262,10014,200906101730
2311,10014,200906101745
2220,10014,200906101800
2154,10014,200906101815
2105,10014,200906101830
2024,10014,200906101845
1922,10014,200906101900
1957,10014,200906101915
1926,10014,200906101930
1827,10014,200906101945
1831,10014,200906102000
1851,10014,200906102015
1845,10014,200906102030
1775,10014,200906102045
1835,10014,200906102100
1835,10014,200906102115
1750,10014,200906102130
1813,10014,200906102145
1767,10014,200906102200
1663,10014,200906102215
1711,10014,200906102230
1655,10014,200906102245
1703,10014,200906102300
1629,10014,200906102315
1573,10014,200906102330
1545,10014,200906102345
1534,10014,200906110000
1505,10014,200906110015
1449,10014,200906110030
1466,10014,200906110045
1466,10014,200906110100
1440,10014,200906110115
1409,10014,200906110130
1378,10014,200906110145
1395,10014,200906110200
1409,10014,200906110215
1497,10014,200906110230
1480,10014,200906110245
1494,10014,200906110300
1536,10014,200906110315
1519,10014,200906110330
1494,10014,200906110345
1627,10014,200906110400
1646,10014,200906110415
-8000,60,200906110430
-8000,60,200906110445
-8000,60,200906110500
-8000,60,200906110515
2077,10014,200906110530
2287,10014,200906110545
2377,10014,200906110600
2479,10014,200906110615
2633,10014,200906110630
2791,10014,200906110645
2888,10014,200906110700
2975,10014,200906110715
3045,10014,200906110730
3140,10014,200906110745
3252,10014,200906110800
3431,10014,200906110815
3483,10014,200906110830
3528,10014,200906110845
3671,10014,200906110900
3735,10014,200906110915
3753,10014,200906110930
3786,10014,200906110945
3808,10014,200906111000
3808,10014,200906111015
3890,10014,200906111030
3970,10014,200906111045
3927,10014,200906111100
3918,10014,200906111115
3827,10014,200906111130
3913,10014,200906111145
3880,10014,200906111200
3892,10014,200906111215
3736,10014,200906111230
3727,10014,200906111245
3759,10014,200906111300
3698,10014,200906111315
3656,10014,200906111330
3610,10014,200906111345
3474,10014,200906111400
3422,10014,200906111415
3284,10014,200906111430
3206,10014,200906111445
-8000,44,200906111500
3044,10014,200906111515
3110,10014,200906111530
3001,10014,200906111545
2854,10014,200906111600
2912,10014,200906111615
2810,10014,200906111630
2641,10014,200906111645
2494,10014,200906111700
-8000,44,200906111715
2249,10014,200906111730
2274,10014,200906111745
2204,10014,200906111800
2234,10014,200906111815
1899,10014,200906111830
-8000,60,200906111845
-8000,44,200906111900
-8000,44,200906111915
1793,10014,200906111930
1900,10014,200906111945
1843,10014,200906112000
1811,10014,200906112015
1864,10014,200906112030
1773,10014,200906112045
1758,10014,200906112100
1677,10014,200906112115
1818,10014,200906112130
1723,10014,200906112145
1624,10014,200906112200
1624,10014,200906112215
1648,10014,200906112230
1613,10014,200906112245
1609,10014,200906112300
1595,10014,200906112315
1525,10014,200906112330
1429,10014,200906112345
1525,10014,200906120000
1488,10014,200906120015
1514,10014,200906120030
1545,10014,200906120045
1534,10014,200906120100
1472,10014,200906120115
1412,10014,200906120130
1463,10014,200906120145
1463,10014,200906120200
1418,10014,200906120215
1480,10014,200906120230
1466,10014,200906120245
1466,10014,200906120300
1404,10014,200906120315
1435,10014,200906120330
1418,10014,200906120345
1519,10014,200906120400
1646,10014,200906120415
1700,10014,200906120430
1835,10014,200906120445
1944,10014,200906120500
2006,10014,200906120515
2276,10014,200906120530
2273,10014,200906120545
2406,10014,200906120600
2436,10014,200906120615
2647,10014,200906120630
2689,10014,200906120645
2875,10014,200906120700
2979,10014,200906120715
3115,10014,200906120730
3159,10014,200906120745
3330,10014,200906120800
3314,10014,200906120815
3482,10014,200906120830
3534,10014,200906120845
3602,10014,200906120900
3501,10014,200906120915
3631,10014,200906120930
3713,10014,200906120945
3616,10014,200906121000
3815,10014,200906121015
3803,10014,200906121030
3878,10014,200906121045
3760,10014,200906121100
3888,10014,200906121115
3867,10014,200906121130
3867,10014,200906121145
3867,10014,200906121200
3878,10014,200906121215
3867,10014,200906121230
3857,10014,200906121245
3834,10014,200906121300
3727,10014,200906121315
3792,10014,200906121330
3707,10014,200906121345
3676,10014,200906121400
3568,10014,200906121415
3647,10014,200906121430
3392,10014,200906121445
3360,10014,200906121500
3309,10014,200906121515
3178,10014,200906121530
3076,10014,200906121545
3068,10014,200906121600
2846,10014,200906121615
2867,10014,200906121630
2742,10014,200906121645
2687,10014,200906121700
2641,10014,200906121715
2502,10014,200906121730
2421,10014,200906121745
2340,10014,200906121800
2235,10014,200906121815
2175,10014,200906121830
2189,10014,200906121845
2126,10014,200906121900
2115,10014,200906121915
2101,10014,200906121930
2045,10014,200906121945
2055,10014,200906122000
1960,10014,200906122015
1925,10014,200906122030
1949,10014,200906122045
1864,10014,200906122100
1914,10014,200906122115
1900,10014,200906122130
1889,10014,200906122145
1924,10014,200906122200
1889,10014,200906122215
1900,10014,200906122230
1889,10014,200906122245
1843,10014,200906122300
1843,10014,200906122315
1748,10014,200906122330
1748,10014,200906122345
1769,10014,200906130000
1724,10014,200906130015
1738,10014,200906130030
1678,10014,200906130045
1738,10014,200906130100
1738,10014,200906130115
1647,10014,200906130130
1703,10014,200906130145
1657,10014,200906130200
1748,10014,200906130215
1633,10014,200906130230
1633,10014,200906130245
1623,10014,200906130300
1723,10014,200906130315
1653,10014,200906130330
1734,10014,200906130345
1865,10014,200906130400
1857,10014,200906130415
-8000,60,200906130430
1882,10014,200906130445
1977,10014,200906130500
-8000,60,200906130515
-8000,60,200906130530
-8000,12,200906130545
2503,10014,200906130600
2632,10014,200906130615
2742,10014,200906130630
2654,10014,200906130645
2776,10014,200906130700
2888,10014,200906130715
3001,10014,200906130730
3047,10014,200906130745
3231,10014,200906130800
3372,10014,200906130815
3363,10014,200906130830
3431,10014,200906130845
-8000,44,200906130900
-8000,44,200906130915
-8000,44,200906130930
3385,10014,200906130945
-8000,12,200906131000
-8000,44,200906131015
3653,10014,200906131030
3865,10014,200906131045
3967,10014,200906131100
3932,10014,200906131115
4034,10014,200906131130
4001,10014,200906131145
4019,10014,200906131200
3853,10014,200906131215
3840,10014,200906131230
3840,10014,200906131245
3784,10014,200906131300
3986,10014,200906131315
3917,10014,200906131330
3802,10014,200906131345
3821,10014,200906131400
3697,10014,200906131415
3644,10014,200906131430
3435,10014,200906131445
3450,10014,200906131500
3334,10014,200906131515
3334,10014,200906131530
3252,10014,200906131545
3072,10014,200906131600
3021,10014,200906131615
2814,10014,200906131630
2791,10014,200906131645
2643,10014,200906131700
2556,10014,200906131715
2510,10014,200906131730
2464,10014,200906131745
2333,10014,200906131800
2154,10014,200906131815
2107,10014,200906131830
2130,10014,200906131845
2092,10014,200906131900
2037,10014,200906131915
1968,10014,200906131930
1958,10014,200906131945
2003,10014,200906132000
1867,10014,200906132015
1922,10014,200906132030
1857,10014,200906132045
1912,10014,200906132100
1857,10014,200906132115
1976,10014,200906132130
1806,10014,200906132145
1764,10014,200906132200
1796,10014,200906132215
1727,10014,200906132230
1772,10014,200906132245
1863,10014,200906132300
1602,10014,200906132315
1793,10014,200906132330
1853,10014,200906132345
1748,10014,200906140000
1703,10014,200906140015
1693,10014,200906140030
1634,10014,200906140045
1679,10014,200906140100
1760,10014,200906140115
1791,10014,200906140130
1595,10014,200906140145
1655,10014,200906140200
