time,observed_ozone_NIWA(DU),modeled_ozone(DU),tsi_impact(DU),halogen_impact(DU),aerosol_impact(DU),QBO_30mb_impact(DU),residual(DU)
Output created in ~tcanty/TOTAL_OZONE on Tue Nov  1 09:37:11 2016
 1989.875    2.520   4.580   1.713 -19.615  -0.083   1.586  -2.060
 1989.958    3.440   4.277   1.944 -19.667  -0.079   1.100  -0.837
 1990.042    2.250   3.763   1.944 -19.720  -0.144   0.703  -1.513
 1990.125    0.620   2.681   1.020 -19.772  -0.147   0.601  -2.061
 1990.208    2.610   1.906   1.020 -19.831  -0.134  -0.128   0.704
 1990.292    3.490   2.304   1.905 -19.884  -0.108  -0.588   1.186
 1990.375    2.140   0.185   0.597 -19.943  -0.093  -1.355   1.955
 1990.458    0.120   0.603   1.520 -19.995  -0.086  -1.816  -0.483
 1990.542    2.550  -0.850   0.327 -20.048  -0.101  -2.007   3.400
 1990.625    0.450  -2.006  -0.789 -20.100  -0.088  -2.007   2.456
 1990.708   -1.770   0.416   1.636 -20.160  -0.097  -1.944  -2.186
 1990.792   -0.960  -0.254   0.904 -20.212  -0.148  -1.777  -0.706
 1990.875   -0.680  -3.013  -2.021 -20.271  -0.102  -1.598   2.333
 1990.958   -2.060  -0.823   0.058 -20.323  -0.118  -1.419  -1.237
 1991.042   -1.450  -1.899  -1.251 -20.375  -0.140  -1.112   0.449
 1991.125    0.520  -0.839  -0.250 -20.427  -0.157  -0.985   1.359
 1991.208    1.910  -0.084   0.558 -20.485  -0.178  -0.959   1.994
 1991.292    3.290   1.843   2.637 -20.536  -0.124  -1.112   1.447
 1991.375    4.440  -0.105   0.212 -20.593  -0.141  -0.563   4.545
 1991.458    4.420   0.287   0.212 -20.644  -0.145  -0.115   4.133
 1991.542    5.850   1.089   1.136 -20.694  -0.715   0.384   4.761
 1991.625    4.950   0.126   0.327 -20.745  -1.267   0.831   4.824
 1991.708    4.530   1.422   1.982 -20.801  -1.621   0.882   3.108
 1991.792    5.240  -1.871  -0.866 -20.850  -1.927   0.793   7.111
 1991.875    2.020  -0.153   0.943 -20.905  -2.053   0.882   2.173
 1991.958    1.840  -2.890  -1.675 -20.953  -2.252   1.010   4.730
 1992.042    0.550  -0.163   0.558 -21.002  -1.952   1.253   0.713
 1992.125    1.620  -0.388   0.212 -21.049  -1.924   1.394   2.008
 1992.208    0.610   0.963   1.443 -21.102  -2.084   1.726  -0.353
 1992.292   -0.610   0.656   0.866 -21.149  -1.895   1.854  -1.266
 1992.375   -0.760  -0.483   0.173 -21.200  -1.932   1.496  -0.277
 1992.458   -1.280  -1.292  -0.288 -21.246  -1.863   1.125   0.012
 1992.542   -2.850  -2.751  -1.212 -21.291  -1.777   0.550  -0.099
 1992.625   -4.050  -3.575  -1.328 -21.335  -1.687  -0.205  -0.475
 1992.708   -5.170  -3.557  -0.827 -21.385  -1.621  -0.703  -1.613
 1992.792   -6.860  -4.682  -1.751 -21.428  -1.587  -0.895  -2.178
 1992.875   -6.980  -3.964  -0.943 -21.476  -1.463  -1.061  -3.016
 1992.958   -7.260  -3.360  -0.366 -21.518  -1.293  -1.164  -3.900
 1993.042   -8.050  -3.226  -0.288 -21.559  -1.155  -1.202  -4.824
 1993.125   -8.080  -4.625  -1.828 -21.600  -0.949  -1.228  -3.455
 1993.208   -8.990  -3.358  -0.635 -21.645  -0.842  -1.215  -5.632
 1993.292   -8.610  -3.572  -0.750 -21.684  -0.813  -1.304  -5.038
 1993.375  -10.260  -3.915  -0.904 -21.728  -0.689  -1.573  -6.345
 1993.458   -9.380  -3.666  -0.904 -21.766  -0.824  -1.151  -5.714
 1993.542   -6.250  -3.368  -1.097 -21.803  -0.705  -0.742  -2.882
 1993.625   -6.550  -3.376  -1.251 -21.840  -0.688  -0.575  -3.174
 1993.708   -4.770  -3.916  -1.867 -21.881  -0.688  -0.460  -0.854
 1993.792   -5.260  -4.030  -2.483 -21.916  -0.546  -0.064  -1.230
 1993.875   -4.280  -3.591  -2.367 -21.954  -0.454   0.205  -0.689
 1993.958   -5.360  -2.959  -1.790 -21.987  -0.481   0.320  -2.401
 1994.042   -3.750  -3.358  -2.444 -22.020  -0.474   0.601  -0.392
 1994.125   -0.480  -2.056  -1.482 -22.051  -0.422   0.921   1.576
 1994.208   -3.290  -1.780  -1.328 -22.085  -0.497   1.151  -1.510
 1994.292   -5.710  -2.040  -1.982 -22.115  -0.457   1.534  -3.670
 1994.375   -2.960  -2.241  -2.367 -22.146  -0.420   1.713  -0.719
 1994.458   -1.180  -2.034  -2.367 -22.174  -0.404   1.931   0.854
 1994.542   -0.850  -1.692  -2.367 -22.200  -0.393   2.289   0.842
 1994.625   -1.150  -1.813  -2.290 -22.225  -0.399   2.123   0.663
 1994.708   -0.470  -3.012  -2.791 -22.252  -0.355   1.407   2.542
 1994.792   -2.060  -3.606  -2.521 -22.276  -0.376   0.588   1.546
 1994.875   -5.980  -4.151  -2.098 -22.300  -0.361  -0.371  -1.829
 1994.958   -5.960  -5.208  -2.560 -22.322  -0.385  -0.921  -0.752
 1995.042   -7.350  -4.904  -2.136 -22.342  -0.331  -1.074  -2.446
 1995.125   -7.280  -4.731  -2.175 -22.361  -0.242  -0.933  -2.549
 1995.208   -6.690  -5.048  -2.521 -22.381  -0.178  -0.946  -1.642
 1995.292   -7.510  -5.632  -2.906 -22.399  -0.079  -1.228  -1.878
 1995.375   -8.060  -5.999  -2.752 -22.417  -0.083  -1.726  -2.061
 1995.458   -7.280  -6.206  -2.521 -22.432  -0.135  -2.097  -1.074
 1995.542   -5.150  -6.143  -2.598 -22.447  -0.159  -1.918   0.993
 1995.625   -3.250  -5.872  -2.560 -22.461  -0.143  -1.688   2.622
 1995.708   -3.170  -5.493  -2.637 -22.475  -0.056  -1.304   2.323
